;ANIO_DENUNCIA;ANIO_HECHO;ATIPICIDAD_INEXISTENCIA;CAPTURA;CONDENA;DELITO;DEPARTAMENTO;ESTADO_NOTICIA;ETAPA;GRUPO_EDAD_VICTIMA;HECHO;HOMICIDIO_DOLOSO_CONSUMADO;IMPUTACION;MUNICIPIO;PAIS;PAIS_NACIMIENTO;SEXO_VICTIMA;CANTIDAD POBLACIONAL;ZONA PREDOMINANTE
0;2010;2010;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
1;2011;2011;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
2;2011;2011;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;;8380801;URBANO
3;2012;2012;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
4;2012;2012;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
5;2012;2012;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
6;2013;2013;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;;8380801;URBANO
7;2013;2013;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;CARTAGENA;Colombia;Colombia;;2219461;URBANO
8;2014;2013;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Santander;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BUCARAMANGA;Colombia;Colombia;;2110608;URBANO
9;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
10;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
11;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
12;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;;8380801;URBANO
13;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
14;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
15;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
16;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
17;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;SANTANDER DE QUILICHAO;Colombia;Colombia;FEMENINO;1437141;RURAL
18;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Córdoba;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;MONTELÍBANO;Colombia;Colombia;FEMENINO;1838574;URBANO
19;2014;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACIÓN;INFANCIA 6 - 11;SI;SI;NO;SAN CARLOS DE GUAROA;Colombia;Colombia;FEMENINO;1053871;URBANO
20;2014;2014;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;NO;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
21;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
22;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;MASCULINO;8380801;URBANO
23;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
24;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
25;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;MASCULINO;8380801;URBANO
26;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
27;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;MASCULINO;8380801;URBANO
28;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;JUICIO;ADULTEZ 29 - 59;SI;SI;SI;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
29;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
30;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
31;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;MASCULINO;8380801;URBANO
32;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;NO;NO;CARTAGENA;Colombia;Colombia;FEMENINO;2219461;URBANO
33;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;POPAYÁN;Colombia;Colombia;FEMENINO;1437141;RURAL
34;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Córdoba;ACTIVO;INVESTIGACIÓN;SIN DATO;SI;NO;SI;MONTERÍA;Colombia;Colombia;FEMENINO;1838574;URBANO
35;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;SANTA MARTA;Colombia;Colombia;FEMENINO;1326341;URBANO
36;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;SANTA MARTA;Colombia;Colombia;FEMENINO;1326341;URBANO
37;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Quindío;ACTIVO;JUICIO;ADOLESCENTE 14 - 17;SI;NO;SI;MONTENEGRO;Colombia;Colombia;FEMENINO;581534;URBANO
38;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;CALI;Colombia;Colombia;FEMENINO;4852896;URBANO
39;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;4852896;URBANO
40;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;4852896;URBANO
41;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;CALI;Colombia;Colombia;FEMENINO;4852896;URBANO
42;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;CALI;Colombia;Colombia;MASCULINO;4852896;URBANO
43;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;SI;SI;SAN FRANCISCO;Colombia;Colombia;FEMENINO;6845057;URBANO
44;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Casanare;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;TAURAMENA;Colombia;Colombia;FEMENINO;387822;URBANO
45;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ACTIVO;EJECUCIÓN DE PENAS;SIN DATO;SI;NO;SI;ANAPOIMA;Colombia;Colombia;FEMENINO;2887005;URBANO
46;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Cundinamarca;ACTIVO;EJECUCIÓN DE PENAS;SIN DATO;SI;NO;SI;ANAPOIMA;Colombia;Colombia;MASCULINO;2887005;URBANO
47;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;NO;SI;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1053871;URBANO
48;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;INACTIVO;EJECUCIÓN DE PENAS;ADULTO MAYOR DE 60;SI;NO;SI;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1053871;URBANO
49;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Meta;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;NO;SI;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1053871;URBANO
50;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Norte de Santander;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;SANTIAGO;Colombia;Colombia;FEMENINO;1414032;URBANO
51;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Norte de Santander;INACTIVO;EJECUCIÓN DE PENAS;ADULTEZ 29 - 59;SI;SI;SI;SANTIAGO;Colombia;Colombia;MASCULINO;1414032;URBANO
52;2015;2015;NO;NO;SI;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;EJECUCIÓN DE PENAS;JUVENTUD 18 - 28;SI;SI;NO;BUENAVENTURA;Colombia;Colombia;FEMENINO;4852896;URBANO
53;2015;2015;NO;SI;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;JUICIO;ADOLESCENTE 14 - 17;SI;NO;SI;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
54;2015;2015;NO;SI;SI;FEMINICIDIO ART. 104A C.P.;Cauca;INACTIVO;EJECUCIÓN DE PENAS;SIN DATO;SI;NO;SI;POPAYÁN;Colombia;Colombia;FEMENINO;1437141;RURAL
55;2015;2015;NO;SI;SI;FEMINICIDIO ART. 104A C.P.;Cesar;INACTIVO;EJECUCIÓN DE PENAS;SIN DATO;SI;SI;SI;CURUMANÍ;Colombia;Colombia;FEMENINO;1089783;URBANO
56;2015;2015;NO;SI;SI;FEMINICIDIO ART. 104A C.P.;La Guajira;INACTIVO;EJECUCIÓN DE PENAS;ADOLESCENTE 14 - 17;SI;NO;SI;URUMITA;Colombia;Colombia;FEMENINO;1093733;URBANO
57;2015;2015;NO;SI;SI;FEMINICIDIO ART. 104A C.P.;Magdalena;INACTIVO;EJECUCIÓN DE PENAS;SIN DATO;SI;SI;SI;SANTA MARTA;Colombia;Colombia;FEMENINO;1326341;URBANO
58;2015;2015;NO;SI;SI;FEMINICIDIO ART. 104A C.P. AGRAVADO POR VICTIMA MENOR DE 18 AÑOS, MAYOR DE 60 O EMBARAZO. ART. 104B L.B;Atlántico;ACTIVO;INVESTIGACIÓN;ADULTO MAYOR DE 60;SI;SI;SI;SOLEDAD;Colombia;Colombia;FEMENINO;2601116;URBANO
59;2015;2015;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;NO;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
60;2015;2015;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;SIN DATO;NO;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
61;2015;2015;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Boyaca;INACTIVO;INDAGACIÓN;SIN DATO;NO;NO;NO;TUNJA;Colombia;Colombia;FEMENINO;1286996;URBANO
62;2015;2015;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;NO;SI;NO;CALI;Colombia;Colombia;FEMENINO;4852896;URBANO
63;2015;2015;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;ADULTO MAYOR DE 60;NO;SI;NO;CALI;Colombia;Colombia;MASCULINO;4852896;URBANO
64;2015;2015;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;SIN DATO;NO;SI;NO;CALI;Colombia;Colombia;FEMENINO;4852896;URBANO
65;2015;2015;SI;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;INACTIVO;INDAGACIÓN;SIN DATO;NO;SI;NO;CALI;Colombia;Colombia;MASCULINO;4852896;URBANO
66;2015;2015;SI;SI;NO;FEMINICIDIO ART. 104A C.P.;Boyaca;INACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;NO;NO;NO;TUNJA;Colombia;Colombia;FEMENINO;1286996;URBANO
67;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;La Guajira;ACTIVO;INVESTIGACIÓN;PRE-ADOLESCENTE 12 - 13;NO;NO;NO;MAICAO;Colombia;Colombia;FEMENINO;1093733;URBANO
68;2015;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;La Guajira;ACTIVO;INVESTIGACIÓN;SIN DATO;NO;NO;NO;MAICAO;Colombia;Colombia;FEMENINO;1093733;URBANO
69;2016;2014;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Córdoba;INACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;TIERRALTA;Colombia;Colombia;FEMENINO;1838574;URBANO
70;2016;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BELLO;Colombia;Colombia;FEMENINO;6845057;URBANO
71;2016;2015;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Caldas;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;PÁCORA;Colombia;Colombia;MASCULINO;997890;URBANO
72;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;MEDELLÍN;Colombia;Colombia;MASCULINO;6845057;URBANO
73;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;MEDELLÍN;Colombia;Colombia;FEMENINO;6845057;URBANO
74;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Antioquia;INACTIVO;INVESTIGACIÓN;SIN DATO;SI;NO;SI;EL BAGRE;Colombia;Colombia;FEMENINO;6845057;URBANO
75;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Atlántico;INACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;SI;NO;SOLEDAD;Colombia;Colombia;FEMENINO;2601116;URBANO
76;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Atlántico;INACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BARRANQUILLA;Colombia;Colombia;MASCULINO;2601116;URBANO
77;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
78;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
79;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
80;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;MASCULINO;8380801;URBANO
81;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
82;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;JUICIO;JUVENTUD 18 - 28;SI;NO;SI;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
83;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;ACTIVO;TERMINACIÓN ANTICIPADA;JUVENTUD 18 - 28;SI;SI;SI;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
84;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
85;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
86;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
87;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
88;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
89;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;BOGOTÁ, D.C.;Colombia;Colombia;MASCULINO;8380801;URBANO
90;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;BOGOTÁ, D. C.;INACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;BOGOTÁ, D.C.;Colombia;Colombia;FEMENINO;8380801;URBANO
91;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Bolívar;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;EL CARMEN DE BOLÍVAR;Colombia;Colombia;FEMENINO;2219461;URBANO
92;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Caldas;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;PÁCORA;Colombia;Colombia;FEMENINO;997890;URBANO
93;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;ARGELIA;Colombia;Colombia;FEMENINO;1437141;RURAL
94;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cauca;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;POPAYÁN;Colombia;Colombia;FEMENINO;1437141;RURAL
95;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Cesar;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;VALLEDUPAR;Colombia;Colombia;FEMENINO;1089783;URBANO
96;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Chocó;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;QUIBDO;Colombia;Colombia;FEMENINO;525528;RURAL
97;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Chocó;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;QUIBDO;Colombia;;MASCULINO;525528;RURAL
98;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Córdoba;ACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;CERETÉ;Colombia;Colombia;FEMENINO;1838574;URBANO
99;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;CIÉNAGA;Colombia;Colombia;FEMENINO;1326341;URBANO
100;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;FUNDACIÓN;Colombia;Colombia;FEMENINO;1326341;URBANO
101;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;SANTA MARTA;Colombia;Colombia;FEMENINO;1326341;URBANO
102;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Magdalena;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;SI;NO;SANTA MARTA;Colombia;Colombia;FEMENINO;1326341;URBANO
103;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;PUERTO GAITÁN;Colombia;Colombia;FEMENINO;1053871;URBANO
104;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1053871;URBANO
105;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;LEJANÍAS;Colombia;Colombia;FEMENINO;1053871;URBANO
106;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Meta;ACTIVO;INDAGACIÓN;SIN DATO;SI;NO;NO;VILLAVICENCIO;Colombia;Colombia;FEMENINO;1053871;URBANO
107;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Nariño;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;SI;NO;TUMACO;Colombia;Colombia;FEMENINO;1851658;URBANO
108;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Quindío;INACTIVO;INDAGACIÓN;ADOLESCENTE 14 - 17;SI;SI;NO;ARMENIA;Colombia;Colombia;FEMENINO;581534;URBANO
109;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Quindío;INACTIVO;INDAGACIÓN;SIN DATO;SI;SI;NO;ARMENIA;Colombia;Colombia;MASCULINO;581534;URBANO
110;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Tolima;INACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;FRESNO;Colombia;Colombia;FEMENINO;1427423;URBANO
111;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;BUENAVENTURA;Colombia;Colombia;FEMENINO;4852896;URBANO
112;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACIÓN;ADULTEZ 29 - 59;SI;NO;NO;LA UNIÓN;Colombia;Colombia;FEMENINO;4852896;URBANO
113;2016;2016;NO;NO;NO;FEMINICIDIO ART. 104A C.P.;Valle del Cauca;ACTIVO;INDAGACIÓN;JUVENTUD 18 - 28;SI;NO;NO;JAMUNDÍ;Colombia;Colombia;FEMENINO;4852896;URBANO
